FIPS,cost_per_meal,monthly_cost_one,monthly_cost_three,monthly_cost_four
41001,2.93,263.7,791.1,1054.8
41003,3.1,279,837,1116
41005,3.11,279.9,839.7,1119.6
41007,2.88,259.2,777.6,1036.8
41009,3.27,294.3,882.9,1177.2
41011,3.06,275.4,826.2,1101.6
41013,5.61,504.9,1514.7,2019.6
41015,3.3,297,891,1188
41017,3.11,279.9,839.7,1119.6
41019,2.82,253.8,761.4,1015.2
41021,3.16,284.4,853.2,1137.6
41023,2.85,256.5,769.5,1026
41025,2.94,264.6,793.8,1058.4
41027,3.44,309.6,928.8,1238.4
41029,2.9,261,783,1044
41031,3.29,296.1,888.3,1184.4
41033,3.15,283.5,850.5,1134
41035,3.14,282.6,847.8,1130.4
41037,2.95,265.5,796.5,1062
41039,2.94,264.6,793.8,1058.4
41041,3.41,306.9,920.7,1227.6
41043,2.84,255.6,766.8,1022.4
41045,2.67,240.3,720.9,961.2
41047,2.8,252,756,1008
41049,2.84,255.6,766.8,1022.4
41051,3.15,283.5,850.5,1134
41053,3.01,270.9,812.7,1083.6
41055,3.36,302.4,907.2,1209.6
41057,3.26,293.4,880.2,1173.6
41059,3.01,270.9,812.7,1083.6
41061,3.07,276.3,828.9,1105.2
41063,2.94,264.6,793.8,1058.4
41065,3.23,290.7,872.1,1162.8
41067,2.97,267.3,801.9,1069.2
41069,2.93,263.7,791.1,1054.8
41071,3.02,271.8,815.4,1087.2
