FIPS,median_housing_one,median_housing_three,median_housing_four
41071,725.99,864.81,864.81
41069,471,637,637
41067,812.74,968.15,968.15
41065,577,730,730
41063,510,637,637
41061,478,647,647
41059,526,702,702
41057,607,759,759
41055,537,637,637
41053,580.97,784.01,784.01
41051,746.21,888.89,888.89
41049,471,637,637
41047,577.26,779,779
41045,489,637,637
41043,556,752,752
41041,601,751,751
41039,621,834,834
41037,537,637,637
41035,561,692,692
41033,618,814,814
41031,506,637,637
41029,616,834,834
41027,704,835,835
41025,471,637,637
41023,495,637,637
41021,484,637,637
41019,496,654,654
41017,645,803,803
41015,591,799,799
41013,550,678,678
41011,530,691,691
41009,639.24,761.48,761.48
41007,568,767,767
41005,806.85,961.13,961.13
41003,629,824,824
41001,514,654,654
