FIPS,meal_supplement_in_dollar
41001,253.44
41003,409.2
41005,398.64
41007,249.04
41009,273.68
41011,392.04
41013,661.32
41015,279.84
41017,396
41019,360.36
41021,256.96
41023,243.76
41025,250.8
41027,434.28
41029,368.28
41031,267.52
41033,260.48
41035,401.28
41037,250.8
41039,377.52
41041,429
41043,363
41045,333.96
41047,359.04
41049,366.96
41051,403.92
41053,392.04
41055,249.92
41057,413.16
41059,382.8
41061,399.96
41063,376.2
41065,409.2
41067,377.52
41069,251.68
41071,382.8
